Parameter,Time point,Value,Participant,Experiment
Heart rate (BPM),rest,73,Participant 1,Low impact w/ slow tempo
Breathing rate (BPM),rest,20.657,Participant 1,Low impact w/ slow tempo
Breathing Volume (L),rest,0.427,Participant 1,Low impact w/ slow tempo
Respiratory Volume,rest,8.820539,Participant 1,Low impact w/ slow tempo
Heart rate (BPM),60s,115,Participant 1,Low impact w/ slow tempo
Breathing rate (BPM),60s,20.494,Participant 1,Low impact w/ slow tempo
Breathing Volume (L),60s,0.878,Participant 1,Low impact w/ slow tempo
Respiratory Volume,60s,17.993732,Participant 1,Low impact w/ slow tempo
Heart rate (BPM),120s,117,Participant 1,Low impact w/ slow tempo
Breathing rate (BPM),120s,19.604,Participant 1,Low impact w/ slow tempo
Breathing Volume (L),120s,0.983,Participant 1,Low impact w/ slow tempo
Respiratory Volume,120s,19.270732,Participant 1,Low impact w/ slow tempo
Heart rate (BPM),180s,121,Participant 1,Low impact w/ slow tempo
Breathing rate (BPM),180s,22.66,Participant 1,Low impact w/ slow tempo
Breathing Volume (L),180s,1.144,Participant 1,Low impact w/ slow tempo
Respiratory Volume,180s,25.92304,Participant 1,Low impact w/ slow tempo
Heart rate (BPM),return,76,Participant 1,Low impact w/ slow tempo
Time to baseline,return,150,Participant 1,Low impact w/ slow tempo
Heart rate (BPM),rest,67,Participant 2,Low impact w/ slow tempo
Heart rate (BPM),30 secs,72,Participant 2,Low impact w/ slow tempo
Heart rate (BPM),60 secs,124,Participant 2,Low impact w/ slow tempo
Heart rate (BPM),90 secs,134,Participant 2,Low impact w/ slow tempo
Heart rate (BPM),120 secs,140,Participant 2,Low impact w/ slow tempo
Breathing rate (BPM),rest,13.602,Participant 2,Low impact w/ slow tempo
Breathing rate (BPM),30 secs,17.098,Participant 2,Low impact w/ slow tempo
Breathing rate (BPM),60 secs,20.038,Participant 2,Low impact w/ slow tempo
Breathing rate (BPM),90 secs,24.551,Participant 2,Low impact w/ slow tempo
Breathing rate (BPM),120 secs,24.598,Participant 2,Low impact w/ slow tempo
Breathing Volume (L),rest,0.524,Participant 2,Low impact w/ slow tempo
Breathing Volume (L),30 secs,1.005,Participant 2,Low impact w/ slow tempo
Breathing Volume (L),60 secs,1.123,Participant 2,Low impact w/ slow tempo
Breathing Volume (L),90 secs,1.612,Participant 2,Low impact w/ slow tempo
Breathing Volume (L),120 secs,1.464,Participant 2,Low impact w/ slow tempo
Respiratory Volume,rest,7.127448,Participant 2,Low impact w/ slow tempo
Respiratory Volume,30 secs,17.18349,Participant 2,Low impact w/ slow tempo
Respiratory Volume,60 secs,22.502674,Participant 2,Low impact w/ slow tempo
Respiratory Volume,90 secs,39.576212,Participant 2,Low impact w/ slow tempo
Respiratory Volume,120 secs,36.011472,Participant 2,Low impact w/ slow tempo
Heart rate (BPM),return,80,Participant 2,Low impact w/ slow tempo
Time to baseline,return,330,Participant 2,Low impact w/ slow tempo
Heart rate (BPM),rest,56,Participant 3,Low impact w/ slow tempo
Heart rate (BPM),30 secs,112,Participant 3,Low impact w/ slow tempo
Heart rate (BPM),60 secs,98,Participant 3,Low impact w/ slow tempo
Heart rate (BPM),90 secs,96,Participant 3,Low impact w/ slow tempo
Heart rate (BPM),120 secs,86,Participant 3,Low impact w/ slow tempo
Breathing rate (BPM),rest,20.489,Participant 3,Low impact w/ slow tempo
